id;titulo;preco;endereco;detalhes;descricao;link;tamanho;quartos;vagas;suites;plantas;data_extracao
48;"SQN 104 Bloco K, ASA NORTE, BRASILIA";1649000.00;N/A;"125 m²
3 Quartos
1 Suíte";"VISTA LIVRE, ANDAR ALTO, CLARO, AREJADO, REFORMADO.";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-104-bloco-k-1061981;125;3;;1;;"2025-04-11 08:43:29"
49;"CA 11 LAGO NORTE, BRASILIA";NULL;"ELLEVEN Residence";"78 a 201 m²
3 quartos
2 plantas";;https://www.dfimoveis.com.br/imovel/lancamento-elleven-residence--390812;"78 a 201";3;;;2;"2025-04-11 08:43:29"
50;"SQN 311, ASA NORTE, BRASILIA";2400000.00;N/A;"223 m²
4 Quartos
2 Suítes
2 Vagas";"COBERTURA VAZADA 4 QUARTOS - ASA NORTE";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-311-953998;223;4;2;2;;"2025-04-11 08:43:29"
51;"SQSW 301, SUDOESTE, BRASILIA";1950000.00;N/A;"145 m²
4 Quartos
3 Suítes
2 Vagas";"4 QUARTOS | VAZADO | OPORTUNIDADE";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sudoeste-brasilia-df-sqsw-301-1133007;145;4;2;3;;"2025-04-11 08:43:29"
52;"SGCV Lote 1, PARK SUL, BRASILIA";1994869.00;N/A;"126 m²
3 Quartos
3 Suítes
3 Vagas";"3 SUÍTES + LAVABO I ÁREA DE SERVIÇO SEPARADA DA COZINHA I UM RESORT NO PARK SUL";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-park-sul-brasilia-df-sgcv-lote-1-1097401;126;3;3;3;;"2025-04-11 08:43:29"
53;"SQNW 103 Bloco A NOROESTE, BRASILIA";NULL;"Residencial Marcia Kubitschek";"119 a 151 m²
3 a 4 quartos
2 plantas";;https://www.dfimoveis.com.br/imovel/lancamento-residencial-marcia-kubitschek-389813;"119 a 151";"3 a 4";;;2;"2025-04-11 08:43:29"
54;"SGCV Lote 1, PARK SUL, BRASILIA";1695104.00;N/A;"104 m²
3 Quartos
1 Suíte
2 Vagas";"03 QUARTOS DE CANTO I 1 SUÍTE I 2 SEMI-SUÍTES";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-park-sul-brasilia-df-sgcv-lote-1-1097393;104;3;2;1;;"2025-04-11 08:43:29"
55;"SQSW 300, SUDOESTE, BRASILIA";2100000.00;N/A;"108 m²
3 Quartos
2 Suítes
1 Vaga";"SQSW 300 SUPER REFORMADO , CANTO NASCENTE SQSW 300 SUPER REFORMADO , CANTO , VISTA LIVRE , NASCENTE";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-300-1056882;108;3;1;2;;"2025-04-11 08:43:29"
56;"SQN 206 Bloco D, ASA NORTE, BRASILIA";1655000.00;N/A;"120 m²
3 Quartos
1 Suíte
1 Vaga";"RECÉM REFORMADO 2024 - ARMÁRIOS NOVOS E PORCELANATO";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-206-bloco-d-980563;120;3;1;1;;"2025-04-11 08:43:29"
57;"SQNW 306 Bloco C NOROESTE, BRASILIA";NULL;"2 e 3 QUARTOS PADRÃO LUXO - URBAN 306";"64 a 219 m²
2 a 3 quartos
3 plantas";"URBAN 306";https://www.dfimoveis.com.br/imovel/lancamento-2-e-3-quartos-padrao-luxo--urban-306-335288;"64 a 219";"2 a 3";;;3;"2025-04-11 08:43:29"
